,Symbol,ReportType,FilingDate,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,high,low,volume,price,1daily_return,2daily_return,3daily_return,5daily_return,10daily_return
436,MA,10-K,2022-02-11,1082.0,597.0,891.0,1012.0,50.0,481.0,373.0,,,,,,,,,
437,MA,10-K,2023-02-14,1146.0,627.0,933.0,1030.0,51.0,509.0,394.0,,,,,,,,,
438,MCD,10-K,2013-02-25,341.0,378.0,311.0,230.0,77.0,99.0,158.0,,,,,,,,,
439,MCD,10-K,2014-02-24,336.0,314.0,294.0,218.0,64.0,98.0,147.0,,,,,,,,,
440,MCD,10-K,2015-02-24,495.0,382.0,418.0,258.0,68.0,205.0,160.0,,,,,,,,,
441,MCD,10-K,2016-02-25,,,,,,,,,,,,,,,,
442,MCD,10-K,2017-03-01,486.0,433.0,448.0,263.0,74.0,227.0,188.0,,,,,,,,,
443,MCD,10-K,2018-02-23,472.0,422.0,464.0,253.0,79.0,228.0,196.0,,,,,,,,,
444,MCD,10-K,2019-02-22,466.0,415.0,458.0,263.0,64.0,219.0,186.0,,,,,,,,,
445,MCD,10-K,2020-02-26,493.0,396.0,449.0,259.0,50.0,226.0,195.0,,,,,,,,,
446,MCD,10-K,2021-02-23,542.0,404.0,483.0,277.0,64.0,241.0,219.0,,,,,,,,,
447,MCD,10-K,2022-02-24,515.0,444.0,500.0,297.0,56.0,255.0,214.0,,,,,,,,,
448,MCD,10-K,2023-02-24,528.0,427.0,464.0,290.0,49.0,238.0,218.0,,,,,,,,,
449,MDLZ,10-K,2013-02-25,,,,,,,,,,,,,,,,
450,MDLZ,10-K,2013-06-20,,,,,,,,,,,,,,,,
451,MDLZ,10-K,2014-03-03,,,,,,,,,,,,,,,,
452,MDLZ,10-K,2015-02-20,,,,,,,,,,,,,,,,
453,MDLZ,10-K,2016-02-19,,,,,,,,,,,,,,,,
454,MDLZ,10-K,2017-02-24,,,,,,,,,,,,,,,,
455,MDLZ,10-K,2018-02-09,,,,,,,,,,,,,,,,
456,MDLZ,10-K,2019-02-08,,,,,,,,,,,,,,,,
457,MDLZ,10-K,2020-02-07,,,,,,,,,,,,,,,,
458,MDLZ,10-K,2021-02-05,,,,,,,,,,,,,,,,
459,MDLZ,10-K,2022-02-04,,,,,,,,,,,,,,,,
460,MDLZ,10-K,2023-02-03,,,,,,,,,,,,,,,,
461,MDT,10-K,2015-06-23,1617.0,696.0,1182.0,1108.0,161.0,489.0,538.0,,,,,,,,,
462,MDT,10-K,2016-06-28,1560.0,722.0,1139.0,1087.0,161.0,498.0,564.0,,,,,,,,,
463,MDT,10-K,2017-06-27,1605.0,723.0,1124.0,1100.0,148.0,541.0,535.0,,,,,,,,,
464,MDT,10-K,2018-06-22,1357.0,675.0,858.0,828.0,110.0,392.0,441.0,,,,,,,,,
465,MDT,10-K,2019-06-21,1337.0,637.0,853.0,815.0,121.0,381.0,443.0,,,,,,,,,
466,MDT,10-K,2020-06-19,,,,,,,,,,,,,,,,
467,MDT,10-K,2021-06-25,,,,,,,,,,,,,,,,
468,MDT,10-K,2022-06-23,,,,,,,,,,,,,,,,
469,META,10-K,2020-01-30,1290.0,349.0,1070.0,739.0,169.0,613.0,390.0,,,,,,,,,
470,META,10-K,2021-01-28,1618.0,371.0,1213.0,939.0,170.0,673.0,470.0,,,,,,,,,
471,META,10-K,2022-02-03,1688.0,373.0,1217.0,945.0,170.0,680.0,487.0,,,,,,,,,
472,META,10-K,2023-02-02,1893.0,419.0,1249.0,1109.0,189.0,664.0,550.0,,,,,,,,,
473,MET,10-K,2017-03-01,4011.0,2025.0,3887.0,2983.0,394.0,1281.0,1545.0,,,,,,,,,
474,MET,10-K,2018-03-01,4296.0,2090.0,3897.0,2997.0,383.0,1305.0,1553.0,,,,,,,,,
475,MET,10-K,2019-02-22,3730.0,2017.0,3295.0,2611.0,303.0,1081.0,1301.0,,,,,,,,,
476,MET,10-K,2020-02-21,3197.0,1751.0,3009.0,2373.0,269.0,1004.0,1164.0,,,,,,,,,
477,MET,10-K,2021-02-19,3175.0,1654.0,3036.0,2086.0,245.0,1007.0,1156.0,,,,,,,,,
478,MET,10-K,2022-02-18,3078.0,1735.0,2952.0,2078.0,234.0,966.0,1097.0,,,,,,,,,
479,MET,10-K,2023-02-23,2946.0,1717.0,2944.0,2062.0,229.0,972.0,1078.0,,,,,,,,,
480,MMM,10-K,2016-02-11,941.0,620.0,690.0,733.0,88.0,205.0,346.0,,,,,,,,,
481,MMM,10-K,2017-02-09,1198.0,693.0,756.0,834.0,87.0,220.0,382.0,,,,,,,,,
482,MMM,10-K,2018-02-08,1250.0,705.0,776.0,899.0,103.0,225.0,371.0,,,,,,,,,
483,MMM,10-K,2019-02-07,1259.0,705.0,774.0,888.0,97.0,225.0,365.0,,,,,,,,,
484,MMM,10-K,2020-02-06,1567.0,646.0,873.0,1171.0,102.0,252.0,385.0,,,,,,,,,
485,MMM,10-K,2021-02-04,1780.0,662.0,892.0,1371.0,96.0,268.0,395.0,,,,,,,,,
486,MMM,10-K,2022-02-09,1731.0,577.0,829.0,1537.0,91.0,258.0,359.0,,,,,,,,,
